"","STATE__","BGN_DATE","BGN_TIME","TIME_ZONE","COUNTY","COUNTYNAME","STATE","EVTYPE","BGN_RANGE","BGN_AZI","BGN_LOCATI","END_DATE","END_TIME","COUNTY_END","COUNTYENDN","END_RANGE","END_AZI","END_LOCATI","LENGTH","WIDTH","F","MAG","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP","WFO","STATEOFFIC","ZONENAMES","LATITUDE","LONGITUDE","LATITUDE_E","LONGITUDE_","REMARKS","REFNUM"
"892234",40,"8/8/2011 0:00:00","05:01:00 PM","CST",47,"GARFIELD","OK","THUNDERSTORM WIND",0,"E","(END)VANCE AFB ENID","8/8/2011 0:00:00","05:01:00 PM",0,NA,0,"","",0,0,NA,55,0,0,0,"K",0,"K","OUN","OKLAHOMA, Western Central and Southeast","                                                                                                                                                                                                        ",3620,9755,0,0,"EPISODE NARRATIVE: A weak cold front draped from west-central into northeast Oklahoma was the focus for afternoon and evening severe thunderstorms. Numerous wind gusts over 70 mph were reported, with a maximum measured gust of 96 mph reported near Lahoma. Widespread wind damage was reported with several of the wind gusts, including over the northern Oklahoma City metro area. The thunderstorms dwindled in coverage over the mid evening hours with the loss of daytime heating and mid-level support.EVENT NARRATIVE: ",892224
"358708",21,"8/19/1999 0:00:00","02:50:00 PM","EST",21,"BOYLE","KY","HAIL",0,"","PERRYVILLE","8/19/1999 0:00:00","02:50:00 PM",0,NA,0,"","PERRYVILLE",0,0,NA,100,0,0,0,"",0,"","LMK","KENTUCKY, Central","",3739,8457,3739,8457,"",358658
"94304",31,"6/8/1970 0:00:00","1715","CST",45,"DAWES","NE","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,50,0,0,0,"",0,"","","","",4247,10305,0,0,"",94304
"266211",36,"1/19/1996 0:00:00","03:40:00 PM","EST",42,"NYZ042","NY","FLOOD",0,"","","1/20/1996 0:00:00","02:00:00 AM",0,NA,0,"","",0,0,NA,0,0,0,3,"M",0,"","ALY","NEW YORK, East","NORTHERN WARREN - NORTHERN WARREN",0,0,0,0,"An intense area of low pressure which was located over the Mid-Atlantic region on Friday morning January 19th produced unseasonably warm temperatures, high dewpoints and strong winds.  This resulted in rapid melting of one to three feet of snow.  In addition to the rapid snowmelt one to three inches of rain fell as the system moved northeast along the coast.  This resulted in the flooding of many small streams and rivers within the county.  Federal Disaster Assistance was made available by presidential declaration.  In Lake George Village widespread flooding occurred and seven families had to be evacuated.  Many roads were closed throughout the county due to flooding including 16 county roads.  Significant damage was also incurred to many state roads.  Routes 9 and 9N were closed from Lake George north.  Route 418 was closed at the Hudson River Bridge and along route 8 a 150 foot section was washed out between Brant Lake and Hague.        ",266139
"135860",42,"5/31/1985 0:00:00","1840","CST",7,"BEAVER","PA","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,0,2,0,0,"",0,"","R","","",4040,8022,0,0,"",135860
"60883",22,"8/22/1962 0:00:00","1600","CST",17,"CADDO","LA","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,"",0,"","","","",3230,9347,0,0,"",60883
"487490",5,"8/22/2003 0:00:00","06:15:00 PM","CST",143,"WASHINGTON","AR","TSTM WIND",0,"","FARMINGTON","8/22/2003 0:00:00","06:15:00 PM",0,NA,0,"","FARMINGTON",0,0,NA,61,0,0,3,"K",0,"","TSA","ARKANSAS, Northwest","",3602,9415,3602,9415,"Thunderstorm winds estimated at 70 miles an hour blew down trees and power lines.
",487419
"659827",20,"8/8/2007 0:00:00","19:01:00 PM","CST",185,"STAFFORD","KS","HAIL",3,"ENE","DILLWYN","8/8/2007 0:00:00","19:01:00 PM",0,NA,0,"","",0,0,NA,88,0,0,0,"K",0,"K","DDC","KANSAS, Southwest","                                                                                                                                                                                                        ",3759,9847,0,0,"EPISODE NARRATIVE: Thunderstorms in the evening across south central counties produced hail and high wind.",659796
"233244",46,"6/24/1994 0:00:00","1525","CDT",59,"HAND","SD","HAIL",14,"NE","Miller","","",0,NA,0,"","",0,0,NA,75,0,0,0,"",0,"","","","",0,0,0,0,"  ",233180
"511379",40,"5/6/2003 0:00:00","03:09:00 PM","CST",101,"MUSKOGEE","OK","HAIL",3,"W","BOYNTON","5/6/2003 0:00:00","03:09:00 PM",0,NA,3,"W","BOYNTON",0,0,NA,100,0,0,0,"",0,"","TSA","OKLAHOMA, Eastern","",3539,9542,3539,9542,"",511359
"865382",26,"5/31/2011 0:00:00","05:29:00 PM","EST",9,"ANTRIM","MI","THUNDERSTORM WIND",1,"WSW","KEWADIN","5/31/2011 0:00:00","05:29:00 PM",0,NA,0,"","",0,0,NA,56,0,0,0.5,"K",0,"K","APX","MICHIGAN, North","                                                                                                                                                                                                        ",4455,8522,0,0,"EPISODE NARRATIVE: Strong to severe thunderstorms developed along and just ahead of an incoming cold front.EVENT NARRATIVE: Tree limbs downed.",865332
"96292",31,"8/9/1979 0:00:00","1935","CST",155,"SAUNDERS","NE","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","ATA","","",4113,9637,0,0,"",96292
"580659",28,"1/13/2005 0:00:00","06:05:00 AM","CST",7,"ATTALA","MS","TSTM WIND",2,"SE","KOSCIUSKO","1/13/2005 0:00:00","06:05:00 AM",0,NA,2,"SE","KOSCIUSKO",0,0,NA,55,0,0,10,"K",0,"","JAN","MISSISSIPPI, Central","",3302,8934,3302,8934,"Several trees were blown down around the Williamsville Community.
",580649
"889513",19,"8/22/2011 0:00:00","11:10:00 PM","CST",167,"SIOUX","IA","HAIL",5,"NE","HULL","8/22/2011 0:00:00","11:10:00 PM",0,NA,0,"","",0,0,NA,2,0,0,0,"K",0,"K","FSD","IOWA, Northwest","                                                                                                                                                                                                        ",4313,9605,0,0,"EPISODE NARRATIVE: Thunderstorms produced several reports of large hail and damaging winds over the northwest corner of Iowa just before and just after midnight on August 22nd and 23rd.EVENT NARRATIVE: Large hail caused an unknown amount of damage to corn and soybean crops.",889453
"169705",48,"4/27/1991 0:00:00","2120","CST",467,"VAN ZANDT","TX","HAIL",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,"",0,"","FTW","","",3222,9551,0,0,"",169705
"93970",31,"6/14/1967 0:00:00","1945","CST",135,"PERKINS","NE","HAIL",0,"","","","",0,NA,0,"","",0,0,NA,450,0,0,0,"",0,"","","","",4047,10135,0,0,"",93970
"603370",1,"4/7/2006 0:00:00","09:02:00 PM","CST",79,"LAWRENCE","AL","HAIL",5,"NE","MOULTON","4/7/2006 0:00:00","09:04:00 PM",0,NA,6,"NE","MOULTON",0,0,NA,100,0,0,0,"",0,"","HUN","ALABAMA, North","",3432,8713,3433,8713,"Quarter size hail was reported.
",603349
"762750",18,"5/14/2009 0:00:00","02:25:00 AM","EST",119,"OWEN","IN","THUNDERSTORM WIND",1,"NNW","GATANANT","5/14/2009 0:00:00","02:25:00 AM",0,NA,0,"","",0,0,NA,55,0,0,0,"K",0,"K","IND","INDIANA, Central","                                                                                                                                                                                                        ",3927,8649,0,0,"EPISODE NARRATIVE: Storms moved across Missouri and Illinois into central and southern Indiana. Storms produced high winds and heavy rain. Rain of 4 to more than 6 inches fell in portions of central and southern Indiana on Wednesday and Thursday morning. This was the biggest rain the area has seen since June 2008. This rain did flood numerous county and a few state roads in central and southern Indiana. At least 4 vehicles attempted to go through flooded roads and did not make it. The biggest rain reported was 6.25 inches on the north side of Bloomington. Monroeb",762700
"694498",6,"7/9/2008 0:00:00","00:00:00 AM","PST",19,"CAZ015 - 017 - 019","CA","HEAT",0,"","","7/9/2008 0:00:00","23:59:00 PM",0,NA,0,"","",0,0,NA,0,0,0,0,"K",0,"K","STO","CALIFORNIA, North Central","NORTHERN SACRAMENTO VALLEY - NORTHERN SACRAMENTO VALLEY - SOUTHERN SACRAMENTO VALLEY - NORTHERN SAN JOAQUIN VALLEY",0,0,0,0,"EVENT NARRATIVE: A daily maximum temperature record of 109 degrees was set at the Modesto Airport. This broke the previous record of 106 degrees set in 2006. A daily high minimum temperature record of 77 degrees was set at the Modesto Airport.  This broke the previous record of 70 degrees set in 1997.

A daily maximum temperature record of 107 degrees was set at the Stockton Airport.  The temperature had been previously reached in 1961. A daily high minimum temperature record of 71 degrees was set at the Stockton Airport.  This broke the previous record of 70 degrees set in 1910.

A 91 year old Modesto woman died as a result of the heat in her mobile home.  Her air conditioning failed, and the temperature in her home was 85 degrees when she was found.

Heat was also reported to have contributed to the death of a 71 year old Turlock man but no details were available. EPISODE NARRATIVE: A strong upper level ridge brought hot weather to much of the area from July 6th to the 10th. High temperatures well over the century mark were recorded, with records tied or set across the northern Central Valley on the 9th. Overnight temperatures also remained very warm, with several record high minimums set or tied.",694448
"848048",28,"3/29/2011 0:00:00","08:00:00 PM","CST",49,"HINDS","MS","FLASH FLOOD",1,"SSE","NOGAN","3/29/2011 0:00:00","09:00:00 PM",0,NA,1,"S","NOGAN",0,0,NA,0,0,0,5,"K",0,"K","JAN","MISSISSIPPI, Central","                                                                                                                                                                                                        ",3214,9012,3214,9013,"EPISODE NARRATIVE: An area of low pressure developed over southeast Louisiana and moved east along a warm front which stretched across southeast Mississippi. This eventually caused a strong cold front to sweep through the region with numerous showers and thunderstorms. This storm system combined with cold temperatures aloft and triggered severe storms that produced quite a bit of hail along with some scattered reports of wind damage. Multiple reports of golf ball sized hail occurred with the largest hail size being tennis ball size. The most intense storm occurred over central sections of Mississippi, roughly across northeast Copiah County and northwest Simpson County. Here, a very intense downburst occurred with winds up to 110 mph which downed dozens of trees. Large hail was wind driven and many trees were stripped of there leaves. Outside of the severe storms, several storms moved over the same locations which resulted in heavy rainfall which led to some flash flooding generally within the I-20 corridor.EVENT NARRATIVE: Heavy rain caused a portion of Interstate 55 to flood near exit 90.",848028
"238919",48,"5/31/1995 0:00:00","1925","CST",217,"HILL","TX","THUNDERSTORM WINDS",0,"","Whitney","","",0,NA,0,"","",0,0,NA,52,0,0,0,"",0,"","","","",0,0,0,0,"Trees were blown down by high winds. ",238919
"852043",5,"4/15/2011 0:00:00","02:46:00 PM","CST",55,"GREENE","AR","HAIL",2,"ENE","EVENING STAR","4/15/2011 0:00:00","02:51:00 PM",0,NA,0,"","",0,0,NA,1,0,0,0,"K",0,"K","MEG","ARKANSAS, East","                                                                                                                                                                                                        ",3611,9040,0,0,"EPISODE NARRATIVE: A Strong area of low pressure in Oklahoma intensified and moved into the Mid Mississippi Valley on April 15, 2011. A warm front surged north through the Mid-South during the morning hours of April 15, 2011 kicking off a round of severe thunderstorms with multiple reports of damaging winds. Later that day a trailing cold front pushed across the region with another round of severe thunderstorms producing mainly large hail.EVENT NARRATIVE: ",851984
"760451",48,"5/16/2009 0:00:00","05:00:00 PM","CST",215,"HIDALGO","TX","HEAVY RAIN",1,"E","EDINBURG","5/16/2009 0:00:00","05:30:00 PM",0,NA,0,"","",0,0,NA,0,0,0,0,"K",0,"K","BRO","TEXAS, South","                                                                                                                                                                                                        ",2618,9809,0,0,"EPISODE NARRATIVE: The approach of a weak late season cold front, strong upper level westerly winds and increasing atmospheric moisture fueled strong to severe thunderstorms across portions of Deep South Texas Saturday May 16. Welcome rains eventually spread across much of Deep South Texas, particularly from western Hidalgo northeast into western Kenedy County, extending out toward the Rio Grande Plains of eastern Zapata County.  Localized, nuisance flooding occurred in heavier rain and/or poor drainage locations of Hidalgo and Starr County. 

The storms weakened as the moved east during the late afternoon and evening, still dropping relieving rainfall into eastern Hidalgo, Willacy, and western Cameron County.  A spark of redevelopment early on May 17th near the Rio Grande dropped more heavy rains between the Brownsville Airport and the Town of South Padre Island.EVENT NARRATIVE: A cooperative observer in Edinburg reported 2.05 inches of rain in less than an hour with a fast moving strong thunderstorm.  The rain caused brief, minor street flooding during the late afternoon but no observable damage.",760401
"74518",27,"6/17/1975 0:00:00","0700","CST",131,"RICE","MN","HAIL",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,"",0,"","","","",4420,9313,0,0,"",74518
"61154",22,"3/11/1968 0:00:00","0645","CST",49,"JACKSON","LA","TORNADO",0,"","","","",0,NA,0,"","",0.5,67,0,0,0,0,25,"K",0,"","","","",3224,9242,0,0,"",61154
"721603",31,"6/21/2008 0:00:00","16:51:00 PM","CST",79,"HALL","NE","HAIL",1,"S","ALDA","6/21/2008 0:00:00","16:51:00 PM",0,NA,0,"","",0,0,NA,175,0,0,5,"K",250,"K","GID","NEBRASKA, South Central","                                                                                                                                                                                                        ",4051,9828,0,0,"EPISODE NARRATIVE: Afternoon thunderstorms developed once again across south central Nebraska as an upper level disturbance crossed the Central Plains and a weak surface boundary moved south through the state.  With the help of marginal instability and shear, a few of these thunderstorms became severe, with hail from the size of pennies to golfballs reported.",721593
"817253",85,"6/3/2010 0:00:00","08:13:00 AM","EST",856,"GMZ856","GM","WATERSPOUT",7,"SSW","CHARLOTTE HARBOR","6/3/2010 0:00:00","08:15:00 AM",0,NA,5,"SSW","CHARLOTTE HARBOR",0,0,NA,0,0,0,0,"K",0,"K","TBW","GULF OF MEXICO","BONITA BEACH TO ENGLEWOOD FL O - BONITA BEACH TO ENGLEWOOD FL O",2634,8218,2636,8216,"EPISODE NARRATIVE: Moist and unstable southwest flow was established at the surface and aloft. In addition, a series of upper disturbances were moving over the area. When combined with daytime heating and sea breeze boundaries, this allowed for numerous strong to severe thunderstorms to develop through the day and continue into the evening, with damaging winds and a waterspout occurring with the stronger storms.EVENT NARRATIVE: A waterspout was briefly sighted offshore of Captiva.",817223
